Brief Terms of Reference / Roles and Responsibilities:,"a) Scrutinizing the nominations of the directors with reference to their qualifications and experience, for identifying"
,"'Fit and Proper' persons, assessing competency of the persons and reviewing compensation levels of the Bank's employees vis-à-vis other banks and the banking industry in general."
,"The NRC has formulated a Policy for Appointment and Fit and Proper Criteria of Directors, which inter-alia provides for criteria to assess the competency of the persons nominated, which includes: · Academic qualifications, · Previous experience, · track record, and . integrity of the candidates."
,"For assessing the integrity and suitability, features like criminal records, financial position, civil actions undertaken to pursue personal debts, refusal of admission to and expulsion from professional bodies, sanctions applied by regulators or similar bodies and previous questionable business practices are considered."
,"b) The Committee also formulates criteria for evaluation of performance of individual directors including independent directors, the Board of Directors and its Committees."
,"The criteria for evaluation of performance of directors (including independent directors) include personal attributes such as attendance at meetings, communication skills, leadership skills and adaptability and professional attributes such as understanding of the Bank's core business and strategic objectives, industry knowledge, independent judgment, adherence to the Bank's Code of Conduct, Ethics and Values etc."
,"c) To carry out any other function as is mandated by the Board from time to time and / or enforced by any statutory notification, amendment or modification, as may be applicable."
Composition:,"Mr. Sanjiv Sachar (Chairman), Mr. Sandeep Parekh, Mr. M.D. Ranganath, Mr. Umesh Chandra Sarangi and Mr. Atanu Chakraborty."
,All the members of the Committee are independent directors.
,Details of re-constitution:
,"Mr. Atanu Chakraborty was inducted as member on the Committee with effect from June 9, 2021."
Meetings:,The Committee met thirteen (13) times during the year on:
,"April 16, 2021, April 22, 2021, May 19, 2021, June 1, 2021, June 15, 2021, June 28, 2021, July 16, 2021, July 27, 2021, August 24, 2021, October 20, 2021, November 25, 2021, January 13, 2022 and February 15, 2022."
